,movieId,title,genres,rating_avg,year,total_votes
9152,147410,A Perfect Day ,Comedy|Drama,5.0,2015,1.0
4206,6086,"I, the Jury ",Crime|Drama|Thriller,5.0,1982,1.0
5690,27751,'Salem's Lot ,Drama|Horror|Mystery|Thriller,5.0,2004,1.0
7047,69211,Boy Eats Girl ,Comedy|Horror,5.0,2005,1.0
3504,4788,Moscow Does Not Believe in Tears (Moskva slezam ne verit) ,Drama|Romance,5.0,1979,1.0
2740,3678,"Man with the Golden Arm, The ",Drama,5.0,1955,1.0
4178,6021,"American Friend, The (Amerikanische Freund, Der) ",Crime|Drama|Mystery|Thriller,5.0,1977,1.0
5678,27704,Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka) ,Action|Drama|Thriller|War,5.0,2003,1.0
7059,69469,Garfield's Pet Force ,Animation,5.0,2009,1.0
7080,69860,Eichmann ,Drama|War,5.0,2007,1.0
3522,4813,When Worlds Collide ,Sci-Fi,5.0,1951,1.0
9180,149350,Lumberjack Man ,Comedy|Horror,5.0,2015,1.0
9185,149508,Spellbound ,Comedy|Romance,5.0,2011,1.0
9186,149566,Unicorn City ,Comedy|Romance,5.0,2012,1.0
9194,150554,The Love Bug ,Adventure|Children|Comedy|Fantasy,5.0,1997,1.0
5654,27523,My Sassy Girl (Yeopgijeogin geunyeo) ,Comedy|Romance,5.0,2001,1.0
7993,96935,My Left Eye Sees Ghosts (Ngo joh aan gin diy gwai) ,Comedy|Fantasy|Romance,5.0,2002,1.0
7097,70451,Max Manus ,Action|Drama|War,5.0,2008,1.0
5639,27373,61* ,Drama,5.0,2001,1.0
5942,34312,"Calcium Kid, The ",Comedy,5.0,2004,1.0
8993,139640,Ooops! Noah is Gone... ,Animation,5.0,2015,1.0
8986,138966,Nasu: Summer in Andalusia ,Animation,5.0,2003,1.0
6189,44943,9/11 ,Documentary,5.0,2002,1.0
1311,1759,"Four Days in September (O Que É Isso, Companheiro?) ",Drama,5.0,1997,1.0
6283,47736,"Chump at Oxford, A ",Comedy,5.0,1940,1.0
8464,112512,Colourful (Karafuru) ,Animation|Drama|Fantasy|Mystery,5.0,2010,1.0
8707,124404,"Snowflake, the White Gorilla ",Adventure|Animation|Children|Comedy,5.0,2011,1.0
8709,124851,Delirium ,Adventure|Romance|Sci-Fi,5.0,2014,1.0
8717,126088,A Flintstones Christmas Carol ,Animation|Children|Comedy,5.0,1994,1.0
6211,45503,Peaceful Warrior ,Drama,5.0,2006,1.0
8726,126921,The Fox and the Hound 2 ,Adventure|Animation|Children|Comedy,5.0,2006,1.0
1228,1631,"Assignment, The ",Action|Thriller,5.0,1997,1.0
6183,44851,Go for Zucker! (Alles auf Zucker!) ,Comedy,5.0,2004,1.0
8985,138835,Return to Treasure Island ,Adventure|Animation|Comedy,5.0,1988,1.0
8752,128087,Trinity and Sartana Are Coming ,Comedy|Western,5.0,1972,1.0
433,496,What Happened Was... ,Comedy|Drama|Romance|Thriller,5.0,1994,1.0
432,495,In the Realm of the Senses (Ai no corrida) ,Drama,5.0,1976,1.0
8383,109687,Particle Fever ,Documentary,5.0,2013,1.0
8381,109633,"Garden of Words, The (Koto no ha no niwa) ",Animation|Romance,5.0,2013,1.0
8775,128914,Tom Segura: Completely Normal ,Comedy,5.0,2014,1.0
6101,42556,7 Faces of Dr. Lao ,Fantasy|Mystery|Western,5.0,1964,1.0
8788,129514,George Carlin: It's Bad for Ya! ,Comedy,5.0,2008,1.0
2947,3951,Two Family House ,Drama,5.0,2000,1.0
8675,122092,Guy X ,Comedy|War,5.0,2005,1.0
8674,121781,Stuart Little 3: Call of the Wild ,Animation|Children|Comedy|Fantasy,5.0,2005,1.0
536,633,Denise Calls Up ,Comedy,5.0,1995,1.0
4675,6983,Jane Eyre ,Drama|Romance,5.0,1944,1.0
3110,4180,Reform School Girls ,Action|Drama,5.0,1986,1.0
6410,50999,"Ugly Duckling and Me!, The ",Animation|Comedy,5.0,2006,1.0
4595,6835,Alien Contamination ,Action|Horror|Sci-Fi,5.0,1980,1.0
8591,117531,Watermark ,Documentary,5.0,2014,1.0
8610,118270,Hellbenders ,Comedy|Horror|Thriller,5.0,2012,1.0
8551,115727,Crippled Avengers (Can que) (Return of the 5 Deadly Venoms) ,Action|Adventure,5.0,1981,1.0
6495,53280,"Breed, The ",Horror|Thriller,5.0,2006,1.0
8623,118834,National Lampoon's Bag Boy ,Comedy,5.0,2007,1.0
6499,53355,Sun Alley (Sonnenallee) ,Comedy|Romance,5.0,1999,1.0
8516,114265,Laggies ,Comedy|Romance,5.0,2014,1.0
8627,118894,Scooby-Doo! Abracadabra-Doo ,Animation|Children|Mystery,5.0,2010,1.0
3081,4135,"Monster Squad, The ",Adventure|Comedy|Horror,5.0,1987,1.0
6511,53578,"Valet, The (La doublure) ",Comedy,5.0,2006,1.0
8504,113829,"One I Love, The ",Comedy|Drama|Romance,5.0,2014,1.0
8645,120130,Into the Forest of Fireflies' Light ,Animation|Drama|Fantasy,5.0,2011,1.0
8646,120138,PK ,Comedy|Drama|Fantasy|Mystery|Romance,5.0,2014,1.0
4474,6611,Umberto D. ,Drama,5.0,1952,1.0
531,626,"Thin Line Between Love and Hate, A ",Comedy,5.0,1996,1.0
3067,4116,Hollywood Shuffle ,Comedy,5.0,1987,1.0
2939,3942,Sorority House Massacre II ,Horror,5.0,1990,1.0
2938,3941,Sorority House Massacre ,Horror,5.0,1986,1.0
8366,109241,On the Other Side of the Tracks (De l'autre côté du périph) ,Action|Comedy|Crime,5.0,2012,1.0
8334,107771,Only Lovers Left Alive ,Drama|Horror|Romance,5.0,2013,1.0
8878,134109,Radio Day ,Comedy,5.0,2008,1.0
8896,134796,Bitter Lake ,Documentary,5.0,2015,1.0
8898,134847,Ghost Graduation ,Comedy,5.0,2012,1.0
2880,3851,I'm the One That I Want ,Comedy,5.0,2000,1.0
8933,136341,Scooby-Doo! and the Samurai Sword ,Animation|Children|Comedy,5.0,2009,1.0
8934,136353,Scooby-Doo! and the Loch Ness Monster ,Animation|Children|Comedy,5.0,2004,1.0
8935,136355,Big Top Scooby-Doo! ,Animation|Children|Comedy,5.0,2012,1.0
8936,136359,Scooby-Doo Goes Hollywood ,Animation|Children|Comedy,5.0,1979,1.0
8938,136445,George Carlin: Back in Town ,Comedy,5.0,1996,1.0
8939,136447,George Carlin: You Are All Diseased ,Comedy,5.0,1999,1.0
8941,136469,Larry David: Curb Your Enthusiasm ,Comedy,5.0,1999,1.0
8943,136503,Tom and Jerry: Shiver Me Whiskers ,Animation|Children|Comedy,5.0,2006,1.0
4390,6442,Belle époque ,Comedy|Romance,5.0,1992,2.0
8946,136556,Kung Fu Panda: Secrets of the Masters ,Animation|Children,5.0,2011,1.0
8958,136834,The Eye: Infinity ,Horror,5.0,2005,1.0
8961,136850,Villain ,Crime|Drama|Thriller,5.0,1971,1.0
6762,59814,Ex Drummer ,Comedy|Crime|Drama|Horror,5.0,2007,1.0
4783,7122,King of Hearts ,Comedy|Drama|War,5.0,1966,1.0
8982,138632,Tokyo Tribe ,Action|Crime|Drama|Sci-Fi,5.0,2014,1.0
8877,134095,My Love ,Animation|Drama,5.0,2006,1.0
8873,134004,What Love Is ,Comedy|Romance,5.0,2007,1.0
2937,3940,Slumber Party Massacre III ,Horror,5.0,1990,1.0
6051,40491,"Match Factory Girl, The (Tulitikkutehtaan tyttö) ",Comedy|Drama,5.0,1990,1.0
2936,3939,Slumber Party Massacre II ,Horror,5.0,1987,1.0
8813,130970,George Carlin: Life Is Worth Losing ,Comedy,5.0,2005,1.0
8355,108795,Wonder Woman ,Action|Adventure|Animation|Fantasy,5.0,2009,1.0
8815,130978,Love and Pigeons ,Comedy|Romance,5.0,1985,1.0
405,467,Live Nude Girls ,Comedy,5.0,1995,1.0
8818,131098,Saving Santa ,Animation|Children|Comedy,5.0,2013,1.0
8820,131130,Tom and Jerry: A Nutcracker Tale ,Animation|Comedy,5.0,2007,1.0
8821,131237,What Men Talk About ,Comedy,5.0,2010,1.0
8825,131610,Willy/Milly ,Comedy|Fantasy,5.0,1986,1.0
4747,7071,"Woman Under the Influence, A ",Drama,5.0,1974,1.0
8828,131724,The Jinx: The Life and Deaths of Robert Durst ,Documentary,5.0,2015,1.0
8343,108078,Chinese Puzzle (Casse-tête chinois) ,Comedy|Romance,5.0,2013,1.0
8837,132153,Buzzard ,Comedy|Drama|Horror,5.0,2015,1.0
8839,132333,Seve ,Documentary|Drama,5.0,2014,1.0
2234,2969,"Man and a Woman, A (Un homme et une femme) ",Drama|Romance,5.0,1966,1.0
3256,4402,Dr. Goldfoot and the Bikini Machine ,Comedy,5.0,1965,1.0
2237,2972,Red Sorghum (Hong gao liang) ,Drama|War,5.0,1987,1.0
8338,107951,Hunting Elephants ,Comedy|Crime,5.0,2013,1.0
4768,7096,Rivers and Tides ,Documentary,5.0,2001,1.0
9365,162344,Tom Segura: Mostly Stories ,Comedy,5.0,2016,1.0
4590,6818,Come and See (Idi i smotri) ,Drama|War,5.0,1985,2.0
2665,3567,Bossa Nova ,Comedy|Drama|Romance,5.0,2000,1.0
3691,5088,"Going Places (Valseuses, Les) ",Comedy|Crime|Drama,5.0,1974,1.0
7812,92494,Dylan Moran: Monster ,Comedy|Documentary,5.0,2004,1.0
9568,173963,Empties ,Comedy,5.0,2007,1.0
5429,25906,Mr. Skeffington ,Drama|Romance,5.0,1944,1.0
9575,174551,Obsession ,Comedy,5.0,1965,1.0
5426,25887,Tales of Manhattan ,Comedy|Drama,5.0,1942,1.0
2597,3473,Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000) ,Comedy,5.0,1976,2.0
7827,93008,"Very Potter Sequel, A ",Comedy|Musical,5.0,2010,1.0
7828,93022,Miss Nobody ,Comedy|Crime,5.0,2010,1.0
3758,5241,Seems Like Old Times ,Comedy|Romance,5.0,1980,1.0
7840,93320,Trailer Park Boys ,Comedy|Crime,5.0,1999,1.0
9583,175293,Gena the Crocodile ,Animation|Children,5.0,1969,1.0
3759,5244,Shogun Assassin ,Action|Adventure,5.0,1980,1.0
7332,77846,12 Angry Men ,Crime|Drama,5.0,1997,1.0
7364,78836,Enter the Void ,Drama,5.0,2009,2.0
9585,175387,On the Trail of the Bremen Town Musicians ,Adventure|Animation|Children,5.0,1973,1.0
9586,175397,"In the blue sea, in the white foam. ",Animation|Children|Fantasy,5.0,1984,1.0
9588,175431,Bobik Visiting Barbos ,Animation|Comedy,5.0,1977,1.0
4044,5745,"Four Seasons, The ",Comedy|Drama,5.0,1981,1.0
4038,5723,Continental Divide ,Comedy|Romance,5.0,1981,1.0
9611,176601,Black Mirror,(no genres listed),5.0,,1.0
7636,87834,My Life as McDull (Mak dau goo si) ,Animation|Comedy|Drama,5.0,2001,1.0
9443,167064,I Am Not Your Negro ,Documentary,5.0,2017,1.0
7601,86721,Idiots and Angels ,Animation|Drama|Fantasy,5.0,2008,1.0
7760,91355,Asterix and the Vikings (Astérix et les Vikings) ,Adventure|Animation|Children|Comedy|Fantasy,5.0,2006,1.0
48,53,Lamerica ,Adventure|Drama,5.0,1994,2.0
5025,7815,True Stories ,Comedy|Musical,5.0,1986,1.0
5435,25947,Unfaithfully Yours ,Comedy,5.0,1948,1.0
9563,173619,Fugitives ,Comedy|Crime,5.0,1986,1.0
9634,179135,Blue Planet II ,Documentary,5.0,2017,1.0
5449,26078,Advise and Consent ,Drama,5.0,1962,1.0
7761,91386,Happy Feet Two ,Animation|Children|Comedy|IMAX,5.0,2011,1.0
9537,172583,Investigation Held by Kolobki ,Animation,5.0,1986,1.0
7400,79897,Get Low ,Comedy|Drama|Mystery,5.0,2009,1.0
9538,172585,Karlson Returns ,Adventure|Animation|Children,5.0,1970,1.0
9518,171749,Death Note: Desu nôto (2006–2007),(no genres listed),5.0,,1.0
9539,172587,Vacations in Prostokvashino ,Animation,5.0,1980,1.0
9540,172589,Winter in Prostokvashino ,Animation,5.0,1984,1.0
5460,26147,"Thousand Clowns, A ",Comedy|Drama|Romance,5.0,1965,1.0
9542,172637,Priklyucheniya Kapitana Vrungelya ,Action|Adventure|Animation|Comedy,5.0,1979,1.0
5466,26169,Branded to Kill (Koroshi no rakuin) ,Action|Crime|Drama,5.0,1967,1.0
9543,172705,Tickling Giants ,Documentary,5.0,2017,1.0
9544,172793,Vovka in the Kingdom of Far Far Away ,Adventure|Animation|Children|Fantasy,5.0,1965,1.0
5448,26073,"Human Condition III, The (Ningen no joken III) ",Drama|War,5.0,1961,1.0
1006,1310,Hype! ,Documentary,5.0,1996,1.0
7744,90943,Into the Abyss ,Documentary,5.0,2011,1.0
9546,172875,A Detective Story ,Animation|Sci-Fi,5.0,2003,1.0
121,148,"Awfully Big Adventure, An ",Drama,5.0,1995,1.0
9549,172909,Cheburashka ,Animation,5.0,1971,1.0
7404,80124,Sisters (Syostry) ,Action|Crime|Drama,5.0,2001,1.0
9498,170777,There Once Was a Dog ,Animation|Children|Comedy,5.0,1982,1.0
87,99,Heidi Fleiss: Hollywood Madam ,Documentary,5.0,1995,2.0
9560,173351,Wow! A Talking Fish! ,Animation|Children|Comedy|Fantasy,5.0,1983,1.0
1540,2075,Mephisto ,Drama|War,5.0,1981,1.0
9561,173355,Travels of an Ant ,Animation,5.0,1983,1.0
4045,5746,Galaxy of Terror (Quest) ,Action|Horror|Mystery|Sci-Fi,5.0,1981,1.0
9495,170597,A Plasticine Crow ,Animation,5.0,1981,1.0
9633,179133,Loving Vincent ,Animation|Crime|Drama,5.0,2017,1.0
2611,3496,Madame Sousatzka ,Drama,5.0,1988,1.0
7301,76091,Mother (Madeo) ,Crime|Drama|Mystery|Thriller,5.0,2009,1.0
2480,3303,Black Tar Heroin: The Dark End of the Street ,Documentary,5.0,2000,1.0
7600,86668,Louis Theroux: Law & Disorder ,Documentary,5.0,2008,1.0
7551,85295,Scooby-Doo! Curse of the Lake Monster ,Adventure|Children|Comedy|Mystery,5.0,2010,1.0
7917,95311,Presto ,Animation|Children|Comedy|Fantasy,5.0,2008,1.0
9388,163925,"Wings, Legs and Tails ",Animation|Comedy,5.0,1986,1.0
1647,2196,Knock Off ,Action,5.0,1998,1.0
3923,5513,Martin Lawrence Live: Runteldat ,Comedy|Documentary,5.0,2002,1.0
5532,26587,"Decalogue, The (Dekalog) ",Crime|Drama|Romance,5.0,1989,1.0
7491,82744,Faster ,Action|Crime|Drama,5.0,2010,1.0
9688,184245,De platte jungle ,Documentary,5.0,1978,1.0
865,1140,Entertaining Angels: The Dorothy Day Story ,Drama,5.0,1996,1.0
2329,3086,Babes in Toyland ,Children|Comedy|Fantasy|Musical,5.0,1934,1.0
9382,163386,Winnie the Pooh and the Day of Concern ,Animation,5.0,1972,1.0
5138,8238,Little Murders ,Comedy|Crime,5.0,1971,1.0
9380,163112,Winnie the Pooh Goes Visiting ,Animation,5.0,1971,1.0
9379,163072,Winnie Pooh ,Animation|Children,5.0,1969,1.0
7513,83969,Down Argentine Way ,Comedy|Drama|Romance,5.0,1940,1.0
2639,3531,All the Vermeers in New York ,Comedy|Drama|Romance,5.0,1990,1.0
9711,187717,Won't You Be My Neighbor? ,Documentary,5.0,2018,1.0
870,1151,Lesson Faust ,Animation|Comedy|Drama|Fantasy,5.0,1994,2.0
1037,1349,Vampire in Venice (Nosferatu a Venezia) (Nosferatu in Venice) ,Horror,5.0,1986,1.0
3852,5416,Cherish ,Comedy|Drama|Thriller,5.0,2002,1.0
7525,84512,Girls About Town ,Comedy,5.0,1931,1.0
3908,5490,The Big Bus ,Action|Comedy,5.0,1976,1.0
7521,84273,Zeitgeist: Moving Forward ,Documentary,5.0,2011,1.0
3893,5468,20 Million Miles to Earth ,Sci-Fi,5.0,1957,1.0
5236,8580,Into the Woods ,Adventure|Comedy|Fantasy|Musical,5.0,1991,1.0
7908,95175,Front of the Class ,Drama,5.0,2008,1.0
9536,172577,Last Year's Snow Was Falling ,Animation|Children|Comedy|Fantasy,5.0,1983,1.0
3936,5537,Satin Rouge ,Drama|Musical,5.0,2002,1.0
3974,5607,"Son of the Bride (Hijo de la novia, El) ",Comedy|Drama,5.0,2001,1.0
9423,165959,Alesha Popovich and Tugarin the Dragon ,Animation|Comedy|Drama,5.0,2004,1.0
5497,26366,Harlan County U.S.A. ,Documentary,5.0,1976,1.0
9427,166183,Junior and Karlson ,Adventure|Animation|Children,5.0,1968,1.0
7886,94810,Eva ,Drama|Fantasy|Sci-Fi,5.0,2011,1.0
2338,3096,My Man Godfrey ,Comedy,5.0,1957,1.0
5308,8804,"Story of Women (Affaire de femmes, Une) ",Drama,5.0,1988,1.0
5503,26401,Last Hurrah for Chivalry (Hao xia) ,Action|Drama,5.0,1979,1.0
4108,5888,Brother (Brat) ,Crime|Drama,5.0,1997,1.0
7581,86237,Connections ,Documentary,5.0,1978,1.0
5287,8738,"Woman Is a Woman, A (femme est une femme, Une) ",Comedy|Drama|Musical|Romance,5.0,1961,1.0
7903,95149,Superman/Batman: Public Enemies ,Action|Animation|Fantasy,5.0,2009,1.0
9396,164367,The Girl with All the Gifts ,Drama|Horror|Sci-Fi|Thriller,5.0,2016,1.0
5493,26350,"Passenger, The (Professione: reporter) ",Drama,5.0,1975,1.0
3672,5059,Little Dieter Needs to Fly ,Documentary,5.0,1997,1.0
5345,8911,Raise Your Voice ,Romance,5.0,2004,1.0
4109,5889,"Cruel Romance, A (Zhestokij Romans) ",Drama|Romance,5.0,1984,1.0
3807,5328,Rain ,Drama|Romance,5.0,2001,1.0
4396,6460,"Trial, The (Procès, Le) ",Drama,4.9,1962,5.0
5580,26810,Bad Boy Bubby ,Drama,4.83,1993,3.0
8536,115122,What We Do in the Shadows ,Comedy|Horror,4.83,2014,3.0
9618,177593,"Three Billboards Outside Ebbing, Missouri ",Crime|Drama,4.75,2017,8.0
2424,3224,Woman in the Dunes (Suna no onna) ,Drama,4.75,1964,4.0
9541,172591,The Godfather Trilogy: 1972-1990 ,(no genres listed),4.75,1992,2.0
4782,7121,Adam's Rib ,Comedy|Romance,4.75,1949,4.0
9702,185135,Sherlock - A Study in Pink ,Crime,4.75,2010,2.0
4054,5772,My Dinner with André ,Drama,4.75,1981,2.0
9570,174053,Black Mirror: White Christmas ,Drama|Horror|Mystery|Sci-Fi|Thriller,4.75,2014,4.0
6185,44889,Reefer Madness: The Movie Musical ,Comedy|Drama|Musical,4.75,2005,2.0
6048,40412,Dead Man's Shoes ,Crime|Thriller,4.75,2004,2.0
8722,126430,The Pacific ,Action|Adventure|Drama|War,4.75,2010,2.0
2479,3302,Beautiful People ,Comedy,4.75,1999,2.0
2882,3855,"Affair of Love, An (Liaison pornographique, Une) ",Drama|Romance,4.75,1999,2.0
3189,4298,Rififi (Du rififi chez les hommes) ,Crime|Film-Noir|Thriller,4.75,1955,2.0
557,670,"World of Apu, The (Apur Sansar) ",Drama,4.75,1959,2.0
8019,97866,"Imposter, The ",Documentary,4.75,2012,2.0
5848,32582,"Wild Parrots of Telegraph Hill, The ",Documentary,4.75,2003,2.0
4955,7486,Happy Together (a.k.a. Buenos Aires Affair) (Chun gwong cha sit) ,Drama|Romance,4.75,1997,2.0
6913,64197,Hunger ,Drama,4.75,2008,2.0
5013,7767,"Best of Youth, The (La meglio gioventù) ",Drama,4.75,2003,2.0
8114,100882,Journey to the West: Conquering the Demons (Daai wa sai you chi Chui mo chun kei) ,Adventure|Comedy|Fantasy|Romance|IMAX,4.75,2013,2.0
7243,73881,3 Idiots ,Comedy|Drama|Romance,4.75,2009,2.0
4121,5915,Victory (a.k.a. Escape to Victory) ,Action|Drama|War,4.75,1981,2.0
9147,147376,Doctor Who: A Christmas Carol ,Sci-Fi,4.75,2010,2.0
9426,166024,Whiplash ,(no genres listed),4.75,2013,2.0
7275,74727,Gentlemen of Fortune (Dzhentlmeny udachi) ,Comedy|Crime|Drama|Mystery,4.75,1972,2.0
5733,30745,Gozu (Gokudô kyôfu dai-gekijô: Gozu) ,Comedy|Crime|Drama|Horror|Mystery,4.75,2003,2.0
4284,6254,"Awful Truth, The ",Comedy|Romance,4.75,1937,2.0
9060,142115,The Blue Planet ,Documentary,4.75,2001,2.0
7252,74282,Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) ,Children|Drama|Romance,4.75,1987,2.0
5773,31364,Memories of Murder (Salinui chueok) ,Crime|Drama|Mystery|Thriller,4.7,2003,5.0
842,1105,Children of the Corn IV: The Gathering ,Horror,4.67,1996,3.0
1664,2239,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) ,Comedy|Drama,4.67,1975,6.0
6737,59141,Son of Rambow ,Children|Comedy|Drama,4.67,2007,3.0
4083,5833,Dog Soldiers ,Action|Horror,4.67,2002,3.0
4344,6345,"Chorus Line, A ",Comedy|Drama|Musical,4.67,1985,3.0
1888,2511,"Long Goodbye, The ",Crime|Film-Noir,4.67,1973,3.0
1589,2131,Autumn Sonata (Höstsonaten) ,Drama,4.62,1978,4.0
6120,43376,Sophie Scholl: The Final Days (Sophie Scholl - Die letzten Tage) ,Drama|War,4.62,2005,4.0
6022,38304,No Direction Home: Bob Dylan ,Documentary,4.62,2005,4.0
6573,55167,Tekkonkinkreet (Tekkon kinkurîto) ,Action|Adventure|Animation|Crime|Fantasy,4.62,2006,4.0
3210,4334,Yi Yi ,Drama,4.6,2000,5.0
796,1041,Secrets & Lies ,Drama,4.59,1996,11.0
8301,106642,"Day of the Doctor, The ",Adventure|Drama|Sci-Fi,4.57,2013,7.0
2582,3451,Guess Who's Coming to Dinner ,Drama,4.55,1967,11.0
883,1178,Paths of Glory ,Drama|War,4.54,1957,12.0
1026,1337,"Body Snatcher, The ",Drama|Horror|Thriller,4.5,1945,1.0
